episode,reward,epsilon,steps
1,-95.75,0.9804,20
2,-93.75,0.9608000000000001,22
3,-94.45,0.9412000000000001,15
4,-94.55,0.9216000000000002,17
5,-96.3,0.9020000000000002,31
6,-96.2,0.8824000000000003,29
7,-94.0,0.8628000000000003,27
8,-84.35000000000001,0.8432000000000004,44
9,-91.4,0.8236000000000004,17
10,-87.05000000000001,0.8040000000000005,35
11,-93.3,0.7844000000000005,13
12,-96.6,0.7648000000000006,16
13,-63.30000000000004,0.7452000000000006,169
14,-97.75,0.7256000000000007,18
15,-96.0,0.7060000000000007,25
16,-91.7,0.6864000000000008,23
17,-92.89999999999999,0.6668000000000008,47
18,-98.85,0.6472000000000009,19
19,-92.45,0.6276000000000009,59
20,-93.55,0.608000000000001,60
21,-96.65,0.588400000000001,17
22,-95.0,0.5688000000000011,47
23,-96.7,0.5492000000000011,18
24,-88.9,0.5296000000000012,51
25,-98.65,0.5100000000000012,15
26,-95.25,0.4904000000000012,31
27,-97.89999999999999,0.4708000000000012,21
28,-97.75,0.4512000000000012,18
29,-96.55,0.4316000000000012,15
30,-97.9,0.4120000000000012,21
31,-97.05,0.3924000000000012,25
32,-31.899999999999935,0.3728000000000012,108
33,-66.4,0.3532000000000012,42
34,-72.95000000000002,0.3336000000000012,47
35,-95.5,0.31400000000000117,15
36,-56.7000000000001,0.29440000000000116,373
37,-23.999999999999886,0.27480000000000115,202
38,-97.39999999999999,0.25520000000000115,32
39,-92.7,0.23560000000000114,22
40,26.050000000000296,0.21600000000000114,272
41,-91.85,0.19640000000000113,110
42,-98.75,0.17680000000000112,17
43,-99.55,0.15720000000000112,222
44,-77.4,0.1376000000000011,73
45,-74.95,0.1180000000000011,66
46,-67.69999999999999,0.0984000000000011,47
47,-72.95000000000002,0.07880000000000109,68
48,-70.45000000000002,0.05920000000000109,60
49,-83.60000000000001,0.03960000000000109,29
50,-67.69999999999999,0.020000000000001093,47
51,-71.35000000000001,0.02,57
52,-67.49999999999997,0.02,43
53,-68.95000000000002,0.02,51
54,-73.75000000000003,0.02,63
55,-67.99999999999996,0.02,53
56,-24.699999999999804,0.02,153
57,-72.45000000000002,0.02,58
58,-84.95000000000002,0.02,98
59,-36.94999999999993,0.02,188
60,69.79999999999981,0.02,468
61,143.00000000000054,0.02,499
62,280.54999999999865,0.02,499
63,178.24999999999937,0.02,399
64,193.3999999999989,0.02,499
65,125.19999999999982,0.02,305
66,310.99999999999915,0.02,499
67,281.599999999999,0.02,499
68,236.4499999999988,0.02,499
69,303.6499999999996,0.02,499
70,405.4999999999996,0.02,499
71,392.89999999999947,0.02,499
72,410.74999999999943,0.02,499
73,403.3999999999993,0.02,499
74,411.79999999999944,0.02,499
75,312.0499999999987,0.02,499
76,381.34999999999934,0.02,499
77,365.59999999999957,0.02,499
78,381.3499999999992,0.02,499
79,323.59999999999906,0.02,499
80,27.700000000000117,0.02,197
81,279.49999999999864,0.02,499
82,16.550000000000097,0.02,189
83,178.89999999999947,0.02,428
84,201.79999999999922,0.02,499
85,196.99999999999937,0.02,423
86,313.09999999999894,0.02,499
87,268.99999999999926,0.02,499
88,71.49999999999989,0.02,350
89,229.0999999999994,0.02,499
90,6.650000000000233,0.02,198
91,150.59999999999943,0.02,406
92,323.59999999999883,0.02,499
93,132.19999999999973,0.02,375
94,230.15000000000023,0.02,499
95,317.29999999999944,0.02,499
96,15.550000000000239,0.02,209
97,108.44999999999959,0.02,325
98,48.19999999999996,0.02,270
99,-48.749999999999915,0.02,88
100,63.849999999999454,0.02,377
101,-83.75000000000003,0.02,53
102,29.650000000000205,0.02,242
103,-50.34999999999994,0.02,78
104,-54.64999999999992,0.02,101
105,-50.49999999999993,0.02,81
106,-78.75,0.02,37
107,81.94999999999993,0.02,246
108,-85.75000000000001,0.02,51
109,-92.15,0.02,11
110,-88.25,0.02,17
111,-1.049999999999912,0.02,142
112,-92.2,0.02,12
113,5.6500000000000625,0.02,134
114,-91.75,0.02,24
115,-91.3,0.02,15
116,32.60000000000002,0.02,204
117,-91.60000000000001,0.02,21
118,-90.3,0.02,16
119,-91.15,0.02,12
120,-91.2,0.02,13
121,67.3999999999998,0.02,264
122,-92.64999999999999,0.02,21
123,-91.89999999999999,0.02,27
124,-51.74999999999997,0.02,64
125,-91.55,0.02,20
126,-14.499999999999957,0.02,138
127,131.6999999999999,0.02,301
128,2.0000000000000853,0.02,144
129,-58.8,0.02,58
130,-30.649999999999523,0.02,293
131,282.6499999999995,0.02,499
132,10.70000000000033,0.02,264
133,-78.35000000000002,0.02,50
134,-73.30000000000001,0.02,33
135,61.35000000000039,0.02,448
136,174.50000000000034,0.02,499
137,270.04999999999893,0.02,499
138,310.9999999999987,0.02,499
139,326.7499999999993,0.02,499
140,315.1999999999997,0.02,499
141,380.29999999999933,0.02,499
142,70.8999999999993,0.02,383
143,-61.3,0.02,45
144,-17.14999999999995,0.02,107
145,174.29999999999916,0.02,436
146,339.3499999999995,0.02,499
147,-20.049999999999855,0.02,144
148,188.6999999999992,0.02,463
149,312.0499999999989,0.02,499
150,-65.35,0.02,42
151,194.4499999999997,0.02,499
152,323.5999999999988,0.02,499
153,279.49999999999807,0.02,499
154,345.64999999999924,0.02,499
155,201.79999999999848,0.02,499
156,218.5999999999991,0.02,499
157,161.90000000000003,0.02,499
158,177.65000000000018,0.02,499
159,179.7499999999992,0.02,499
160,181.84999999999877,0.02,499
161,175.55000000000004,0.02,499
162,107.30000000000074,0.02,499
163,232.24999999999858,0.02,499
164,223.8499999999998,0.02,499
165,305.74999999999886,0.02,499
166,171.34999999999985,0.02,499
167,186.0499999999981,0.02,499
168,254.29999999999887,0.02,499
169,242.749999999999,0.02,499
170,326.74999999999875,0.02,499
171,313.09999999999934,0.02,499
172,256.39999999999924,0.02,499
173,321.4999999999991,0.02,499
174,295.24999999999903,0.02,499
175,79.39999999999992,0.02,318
176,340.3999999999992,0.02,499
177,363.4999999999992,0.02,499
178,-29.89999999999992,0.02,110
179,350.89999999999924,0.02,499
180,331.99999999999926,0.02,499
181,53.60000000000002,0.02,204
182,348.799999999999,0.02,499
183,387.64999999999935,0.02,499
184,398.1499999999993,0.02,499
185,-100.6,0.02,12
186,388.6999999999992,0.02,499
187,387.64999999999924,0.02,499
188,106.59999999999982,0.02,278
189,363.49999999999943,0.02,499
190,369.7999999999992,0.02,499
191,138.9999999999999,0.02,323
192,-3.2499999999999574,0.02,123
193,149.69999999999982,0.02,319
194,98.24999999999972,0.02,298
195,342.4999999999993,0.02,499
196,365.59999999999906,0.02,499
197,357.1999999999991,0.02,499
198,364.5499999999991,0.02,499
199,368.7499999999993,0.02,499
200,120.6999999999997,0.02,332
201,27.700000000000287,0.02,239
202,-42.249999999999886,0.02,147
203,-70.90000000000002,0.02,90
204,-74.30000000000001,0.02,32
205,-27.849999999999966,0.02,111
206,-39.54999999999984,0.02,135
207,-42.5499999999998,0.02,132
208,-51.84999999999988,0.02,150
209,-63.34999999999988,0.02,86
210,-94.44999999999999,0.02,36
211,-65.34999999999991,0.02,84
212,-68.09999999999991,0.02,76
213,-87.10000000000002,0.02,36
214,257.4499999999978,0.02,499
215,-16.29999999999994,0.02,153
216,-63.84999999999991,0.02,75
217,64.04999999999961,0.02,289
218,295.24999999999926,0.02,499
219,307.8499999999986,0.02,499
220,323.59999999999894,0.02,499
221,323.5999999999986,0.02,499
222,252.19999999999885,0.02,499
223,268.99999999999943,0.02,499
224,-27.799999999999756,0.02,173
225,366.64999999999907,0.02,499
226,363.49999999999903,0.02,499
227,319.3999999999993,0.02,499
228,280.54999999999944,0.02,499
229,327.79999999999853,0.02,499
230,140.2999999999997,0.02,339
231,259.5499999999985,0.02,499
232,-23.999999999999886,0.02,139
233,38.850000000000136,0.02,331
234,298.39999999999884,0.02,499
235,412.84999999999934,0.02,499
236,-100.0,0.02,0
237,278.44999999999925,0.02,499
238,241.6999999999996,0.02,499
239,279.49999999999983,0.02,499
240,315.1999999999985,0.02,499
241,339.34999999999883,0.02,499
242,271.09999999999957,0.02,499
243,393.9499999999995,0.02,499
244,238.5499999999983,0.02,499
245,254.29999999999905,0.02,499
246,-79.75,0.02,36
247,-75.3,0.02,31
248,25.20000000000043,0.02,331
249,91.39999999999989,0.02,351
250,-61.54999999999974,0.02,260
251,-33.04999999999971,0.02,341
252,-55.94999999999983,0.02,295
253,-49.09999999999997,0.02,95
254,44.54999999999933,0.02,385
255,224.8999999999991,0.02,499
256,243.80000000000018,0.02,499
257,246.94999999999834,0.02,499
258,297.3499999999991,0.02,499
259,-81.35000000000004,0.02,110
260,277.3999999999991,0.02,499
261,-48.49999999999993,0.02,146
262,273.1999999999987,0.02,499
263,122.29999999999981,0.02,342
264,293.14999999999947,0.02,499
265,293.14999999999935,0.02,499
266,313.09999999999906,0.02,499
267,-76.65,0.02,37
268,325.6999999999988,0.02,499
269,322.54999999999916,0.02,499
270,312.0499999999993,0.02,499
271,-44.149999999999935,0.02,80
272,-100.0,0.02,0
273,370.849999999999,0.02,499
274,48.14999999999981,0.02,208
275,347.74999999999915,0.02,499
276,364.5499999999993,0.02,499
277,333.0499999999991,0.02,499
278,321.49999999999943,0.02,499
279,244.8499999999986,0.02,499
280,313.0999999999987,0.02,499
281,93.94999999999953,0.02,300
282,324.6499999999989,0.02,499
283,-70.45000000000002,0.02,60
284,349.84999999999917,0.02,499
285,-1.7499999999999005,0.02,135
286,308.8999999999988,0.02,499
287,336.19999999999936,0.02,499
288,120.24999999999949,0.02,320
289,162.5499999999994,0.02,398
290,352.9999999999992,0.02,499
291,316.2499999999993,0.02,499
292,346.6999999999991,0.02,499
293,294.19999999999874,0.02,499
294,-63.35000000000001,0.02,65
295,358.24999999999966,0.02,499
296,286.8499999999986,0.02,499
297,344.599999999999,0.02,499
298,333.0499999999992,0.02,499
299,282.6499999999989,0.02,499
300,302.59999999999957,0.02,499
301,331.9999999999992,0.02,499
302,323.5999999999986,0.02,499
303,337.2499999999989,0.02,499
304,298.3999999999988,0.02,499
305,0.10000000000013642,0.02,203
306,-66.35000000000001,0.02,62
307,310.9999999999993,0.02,499
308,-94.25,0.02,11
309,-53.19999999999997,0.02,72
310,-44.94999999999993,0.02,96
311,-25.849999999999838,0.02,155
312,213.89999999999912,0.02,484
313,148.49999999999903,0.02,469
314,292.0999999999991,0.02,499
315,251.1499999999981,0.02,499
316,133.99999999999906,0.02,444
317,276.34999999999866,0.02,499
318,-58.49999999999997,0.02,73
319,272.14999999999947,0.02,499
320,-36.7999999999999,0.02,122
321,282.64999999999884,0.02,499
322,359.2999999999993,0.02,499
323,336.1999999999989,0.02,499
324,339.3499999999988,0.02,499
325,317.2999999999987,0.02,499
326,373.99999999999926,0.02,499
327,108.84999999999985,0.02,317
328,-3.749999999999929,0.02,133
329,-5.149999999999963,0.02,140
330,235.84999999999945,0.02,465
331,338.2999999999993,0.02,499
332,-21.94999999999996,0.02,98
333,26.600000000000136,0.02,177
334,330.9499999999991,0.02,499
335,386.5999999999992,0.02,499
336,155.1999999999997,0.02,314
337,390.7999999999993,0.02,499
338,340.3999999999992,0.02,499
339,373.99999999999943,0.02,499
340,270.4999999999995,0.02,486
341,103.84999999999911,0.02,396
342,280.5499999999987,0.02,499
343,111.04999999999998,0.02,315
344,-88.2,0.02,16
345,70.09999999999957,0.02,441
346,-34.04999999999991,0.02,109
347,-73.65000000000002,0.02,103
348,106.29999999999916,0.02,389
349,-2.7999999999999403,0.02,135
350,-94.1,0.02,50
351,301.5499999999993,0.02,499
352,368.7499999999989,0.02,499
353,183.94999999999948,0.02,369
354,299.44999999999965,0.02,499
355,357.19999999999897,0.02,499
356,309.9499999999996,0.02,499
357,-84.1,0.02,18
358,-90.35000000000001,0.02,17
359,308.899999999999,0.02,499
360,-32.34999999999994,0.02,96
361,312.04999999999893,0.02,499
362,342.49999999999926,0.02,499
363,265.84999999999917,0.02,499
364,-69.05000000000001,0.02,53
365,351.9499999999995,0.02,499
366,286.84999999999883,0.02,499
367,158.54999999999956,0.02,394
368,309.94999999999885,0.02,499
369,77.69999999999993,0.02,268
370,-10.79999999999994,0.02,148
371,306.79999999999933,0.02,499
372,37.1999999999999,0.02,238
373,-26.84999999999978,0.02,175
374,357.19999999999914,0.02,499
375,340.399999999999,0.02,499
376,342.49999999999943,0.02,499
377,-35.64999999999996,0.02,78
378,242.69999999999953,0.02,454
379,351.94999999999885,0.02,499
380,379.2499999999992,0.02,499
381,385.54999999999916,0.02,499
382,167.04999999999887,0.02,413
383,284.7499999999985,0.02,499
384,66.85000000000002,0.02,233
385,104.79999999999978,0.02,335
386,316.2499999999994,0.02,499
387,294.1999999999983,0.02,499
388,-94.64999999999999,0.02,19
389,-95.75,0.02,20
390,118.0499999999999,0.02,322
391,198.9999999999988,0.02,488
392,275.2999999999994,0.02,499
393,92.99999999999977,0.02,361
394,209.1499999999985,0.02,499
395,222.79999999999927,0.02,499
396,219.65000000000015,0.02,499
397,274.2499999999994,0.02,499
398,357.199999999999,0.02,499
399,333.0499999999991,0.02,499
400,279.4999999999987,0.02,499
401,33.39999999999992,0.02,209
402,203.24999999999926,0.02,487
403,326.74999999999875,0.02,499
404,365.59999999999917,0.02,499
405,194.59999999999934,0.02,429
406,383.4499999999991,0.02,499
407,313.0999999999991,0.02,499
408,306.799999999999,0.02,499
409,310.99999999999864,0.02,499
410,285.79999999999944,0.02,499
411,-53.04999999999997,0.02,69
412,-36.64999999999998,0.02,77
413,-5.449999999999946,0.02,146
414,78.04999999999993,0.02,282
415,350.8999999999992,0.02,499
416,323.59999999999854,0.02,499
417,320.449999999999,0.02,499
418,350.8999999999989,0.02,499
419,320.449999999999,0.02,499
420,324.64999999999867,0.02,499
421,-61.949999999999946,0.02,79
422,285.7999999999992,0.02,499
423,303.64999999999856,0.02,499
424,335.149999999999,0.02,499
425,389.7499999999992,0.02,499
426,316.24999999999915,0.02,499
427,317.2999999999993,0.02,499
428,392.89999999999947,0.02,499
429,373.999999999999,0.02,499
430,125.7999999999995,0.02,314
431,372.9499999999991,0.02,499
432,-31.799999999999926,0.02,106
433,263.7499999999991,0.02,499
434,114.29999999999944,0.02,355
435,-23.749999999999915,0.02,113
436,312.0499999999986,0.02,499
437,313.09999999999906,0.02,499
438,222.79999999999876,0.02,499
439,-91.9,0.02,27
440,281.59999999999894,0.02,499
441,40.29999999999956,0.02,260
442,-14.94999999999989,0.02,126
443,281.599999999999,0.02,499
444,-75.05000000000001,0.02,47
445,280.54999999999933,0.02,499
446,338.2999999999987,0.02,499
447,308.89999999999867,0.02,499
448,51.4499999999999,0.02,226
449,-31.59999999999988,0.02,123
450,4.450000000000102,0.02,158
451,317.2999999999984,0.02,499
452,314.1499999999991,0.02,499
453,329.89999999999907,0.02,499
454,263.7499999999994,0.02,499
455,192.39999999999964,0.02,431
456,266.89999999999907,0.02,499
457,315.1999999999986,0.02,499
458,-94.7,0.02,20
459,-69.05000000000004,0.02,95
460,-9.799999999999898,0.02,149
461,47.400000000000006,0.02,286
462,-95.55,0.02,58
463,-93.55,0.02,39
464,-93.55,0.02,60
465,203.14999999999844,0.02,489
466,301.5499999999986,0.02,499
467,308.8999999999988,0.02,499
468,295.24999999999886,0.02,499
469,281.59999999999934,0.02,499
470,137.2499999999987,0.02,463
471,257.4499999999989,0.02,499
472,274.24999999999903,0.02,499
473,98.34999999999997,0.02,317
474,-76.85000000000002,0.02,62
475,348.79999999999905,0.02,499
476,200.74999999999915,0.02,432
477,210.1999999999999,0.02,499
478,239.5999999999998,0.02,499
479,363.49999999999926,0.02,499
480,376.09999999999894,0.02,499
481,359.29999999999893,0.02,499
482,315.19999999999925,0.02,499
483,294.1999999999989,0.02,499
484,253.24999999999875,0.02,499
485,303.6499999999984,0.02,499
486,348.7999999999989,0.02,499
487,-62.449999999999974,0.02,47
488,-55.95000000000001,0.02,64
489,4.6500000000000625,0.02,133
490,-9.29999999999994,0.02,118
491,268.9999999999986,0.02,499
492,196.4499999999992,0.02,455
493,388.69999999999925,0.02,499
494,-52.699999999999974,0.02,104
495,372.9499999999993,0.02,499
496,346.6999999999989,0.02,499
497,319.3999999999996,0.02,499
498,315.19999999999857,0.02,499
499,34.599999999999795,0.02,227
500,254.29999999999893,0.02,499
501,323.599999999999,0.02,499
502,293.1499999999989,0.02,499
503,-50.799999999999905,0.02,87
504,-89.5,0.02,21
505,-59.599999999999966,0.02,53
506,-78.15,0.02,25
507,97.2000000000001,0.02,298
508,72.25,0.02,251
509,-84.4,0.02,45
510,2.35000000000025,0.02,200
511,337.24999999999903,0.02,499
512,287.8999999999984,0.02,499
513,333.04999999999905,0.02,499
514,367.69999999999914,0.02,499
515,349.84999999999894,0.02,499
516,217.04999999999956,0.02,442
517,244.84999999999877,0.02,499
518,288.94999999999897,0.02,499
519,-0.24999999999981526,0.02,189
520,-83.5,0.02,48
521,-58.65000000000002,0.02,76
522,91.29999999999976,0.02,332
523,-46.899999999999984,0.02,93
524,262.6999999999991,0.02,499
525,-37.89999999999992,0.02,123
526,-34.29999999999991,0.02,135
527,-96.39999999999999,0.02,33
528,-97.7,0.02,38
529,-47.79999999999997,0.02,90
530,-66.14999999999998,0.02,58
531,-87.85000000000001,0.02,72
532,278.44999999999897,0.02,499
533,228.05000000000015,0.02,499
534,282.6499999999991,0.02,499
535,244.849999999999,0.02,499
536,282.6499999999994,0.02,499
537,277.39999999999964,0.02,499
538,284.74999999999915,0.02,499
539,-4.099999999999866,0.02,161
540,283.6999999999991,0.02,499
541,305.749999999999,0.02,499
542,337.2499999999996,0.02,499
543,281.59999999999866,0.02,499
544,291.04999999999876,0.02,499
545,283.6999999999993,0.02,499
546,230.14999999999975,0.02,499
547,273.19999999999925,0.02,499
548,300.4999999999992,0.02,499
549,285.7999999999988,0.02,499
550,234.34999999999883,0.02,499
551,264.7999999999995,0.02,499
552,212.29999999999978,0.02,499
553,240.64999999999958,0.02,499
554,264.79999999999956,0.02,499
555,257.4499999999989,0.02,499
556,326.74999999999886,0.02,499
557,250.0999999999985,0.02,499
558,300.4999999999989,0.02,499
559,267.94999999999897,0.02,499
560,296.2999999999986,0.02,499
561,-14.099999999999852,0.02,151
562,-65.59999999999995,0.02,68
563,-19.799999999999883,0.02,160
564,310.9999999999984,0.02,499
565,-97.45,0.02,12
566,-21.199999999999903,0.02,125
567,139.54999999999916,0.02,417
568,-96.6,0.02,16
569,-37.59999999999998,0.02,96
570,106.89999999999986,0.02,272
571,3.0500000000000824,0.02,144
572,-33.549999999999955,0.02,99
573,-47.19999999999989,0.02,99
574,43.69999999999999,0.02,255
